"Original Gospel Harmonettes","99 1:2","http://bap-tizum.com/sites/default/files/audio/Original%20Gospel%20Harmonettes_99%201:2_33.mp3"
"Pentecostal Power","Abide Me","http://bap-tizum.com/sites/default/files/audio/Pentecostal%20Power_Abide%20Me_33.mp3"
"The Harold Bailey Singers","Up Above My Head","http://bap-tizum.com/sites/default/files/audio/The%20Harold%20Bailey%20Singers_Up%20Above%20My%20Head_33.mp3"
"Rev. Rhyme","According to Rap","http://bap-tizum.com/sites/default/files/audio/Daniel_0.mp3"
"The Harold Bailey Singers","Adopted In The Royal Family","http://bap-tizum.com/sites/default/files/audio/The%20Harold%20Bailey%20Singers_Adopted%20In%20The%20Royal%20Family_33.mp3"
"Original Blind Boys Of Alabama","After A While","http://bap-tizum.com/sites/default/files/audio/Original%20Blind%20Boys%20Of%20Alabama_After%20A%20While_33.mp3"
"The Original Cannon Singers","Ain't It A Shame","http://bap-tizum.com/sites/default/files/audio/The%20Original%20Cannon%20Singers_Ain't%20It%20A%20Shame_33.mp3"
"The Voices-Supreme","Ain't No Mountain High Enough","http://bap-tizum.com/sites/default/files/audio/Aint_No_Mountain_High_Enough.mp3"
"The Consolers","All Day","http://bap-tizum.com/sites/default/files/audio/The%20Consolers_All%20Day_33.mp3"
"The Harmonizing Four","All Things Are Possible","http://bap-tizum.com/sites/default/files/audio/The%20Harmonizing%20Four_All%20Things%20Are%20Possible_33.mp3"
"Barry Currington With The Great 250 Voice Choir","All You Need Is In Jesus","http://bap-tizum.com/sites/default/files/audio/Barry%20Currington%20With%20The%20Great%20250%20Voice%20Choir_All%20You%20Need%20Is%20In%20Jesus_33.mp3"
"Tessie Hill","Almighty God","http://bap-tizum.com/sites/default/files/audio/Tessie%20Hill_Almighty%20God_33.mp3"
"The Young Delegation","Almost Home","http://bap-tizum.com/sites/default/files/audio/See_What_The_Ends_Gonna_Be.mp3"
"In Memory Of Ruth Davis","Almost Home","http://bap-tizum.com/sites/default/files/audio/In%20Memory%20Of%20Ruth%20Davis_Almost%20Home_33.mp3"
"The Original Five Blind Boys Of Alabama","Alone and Motherless","http://bap-tizum.com/sites/default/files/audio/The%20Original%20Five%20Blind%20Boys%20Of%20Alabama_Alone%20and%20Motherless_33.mp3"
"The Original Five Blind Boys Of Alabama","Alone and Motherless","http://bap-tizum.com/sites/default/files/audio/The%20Original%20Five%20Blind%20Boys%20Of%20Alabama_Alone%20and%20Motherless_33_0.mp3"
