Artist,Title,Url
"The Violinaires","Another Soldier Gone","http://bap-tizum.com/sites/default/files/audio/Another_Soldier_Gone.mp3"
"The Pilgrim Harmonaires","Anyway You Bless Me Lord","http://bap-tizum.com/sites/default/files/audio/Anyway_You_Bless_Me_Lord.mp3"
"The Trumpeteers","Babylon's Fallen","http://bap-tizum.com/sites/default/files/audio/Babylons_Fallen.mp3"
"The McNeil Choir","Babylon's Fallen","http://bap-tizum.com/sites/default/files/audio/Babylons_Fallen_0.mp3"
"The Pilgrim Travelers","Blessed Be The Name","http://bap-tizum.com/sites/default/files/audio/Blessed_Be_The_Name.mp3"
"The Soul-Stirrers","Blessed Quietness","http://bap-tizum.com/sites/default/files/audio/Blessed_Quietness.mp3"
"Golden Gate Quartet","Bones, Bones, Bones","http://bap-tizum.com/sites/default/files/audio/Bones_Bones_Bones.mp3"
"The Trumpeteers","In The Bosom of Abraham","http://bap-tizum.com/sites/default/files/audio/In_The_Bosom_of_Abraham.mp3"
"The Sensational Nightingales","Burrying Ground","http://bap-tizum.com/sites/default/files/audio/The%20Sensational%20Nightingales_Burrying%20Ground_78.mp3"
"The Sensational Nightingales","Burrying Ground","http://bap-tizum.com/sites/default/files/audio/The%20Sensational%20Nightingales_Burrying%20Ground_78_0.mp3"
"Willie Mae Ford Smith And Daughter Bertha","Call Him By His Name","http://bap-tizum.com/sites/default/files/audio/Willie%20Mae%20Ford%20Smith%20And%20Daughter%20Bertha_Call%20Him%20By%20His%20Name_78.mp3"
"The Pilgrim Travelers","Call on Jesus","http://bap-tizum.com/sites/default/files/audio/Call_on_Jesus.mp3"
"Prophet Jones","Can't Stay Here No More","http://bap-tizum.com/sites/default/files/audio/Cant_Stay_Here_No_More.mp3"
"The Fairfield Four","Come On To This Altar","http://bap-tizum.com/sites/default/files/audio/Come_On_To_This_Altar.mp3"
"The Soul Stirrers","Come And Go To That Land","http://bap-tizum.com/sites/default/files/audio/Come_And_Go_To_That_Land.mp3"
"Rev. H.R. Jelks","Come To Jesus","http://bap-tizum.com/sites/default/files/audio/Come_To_Jesus.mp3"
"Southern Wonders","Come On Over Here","http://bap-tizum.com/sites/default/files/audio/Southern%20Wonders_Come%20On%20Over%20Here_78.mp3"
"Pinky Smith","Come Unto Me","http://bap-tizum.com/sites/default/files/audio/Come_Unto_Me.mp3"
